name,rate,rating_numerator,dog_stage,comments,retweet_count,favorite_count,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,expanded_urls,text_url,jpg_url,timestamp,rating_denominator,tweet_id
logn,7.5,75,,"This is Logan, the Chow who lived. He solemnly swears he's up to lots of good. H*ckin magical af 9.75/10 https://t.co/yBO5wuqaPS",7069,20296,pomeranian,0.47,True,persian cat,0.12,False,chow,0.1,True,https://twitter.com/dog_rates/status/786709082849828864/photo/1,"""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/CurzvFTXgAA2_AP.jpg,2016-10-13,10,786709082849828864
sm,3.4285714285714284,24,,"Meet Sam. She smiles 24/7 &amp; secretly aspires to be a reindeer. 
Keep Sam smiling by clicking and sharing this link:
https://t.co/98tB8y7y7t https://t.co/LouL5vdvxx",1655,5927,golden retriever,0.87,True,tibetan mastiff,0.04,True,labrador retriever,0.03,True,"https://www.gofundme.com/sams-smile,https://twitter.com/dog_rates/status/810984652412424192/photo/1","""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/C0EyPZbXAAAceSc.jpg,2016-12-19,7,810984652412424192
sophie,2.7,27,pupper,This is Sophie. She's a Jubilant Bush Pupper. Super h*ckin rare. Appears at random just to smile at the locals. 11.27/10 would smile back https://t.co/QFaUiIHxHq,1885,7320,clumber,0.95,True,cocker spaniel,0.02,True,lhasa,0.01,True,https://twitter.com/dog_rates/status/778027034220126208/photo/1,"""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/Cswbc2yWcAAVsCJ.jpg,2016-09-20,10,778027034220126208
,2.6,26,,Here we have uncovered an entire battalion of holiday puppers. Average of 11.26/10 https://t.co/eNm2S6p9BD,542,1879,kuvasz,0.44,True,samoyed,0.11,True,great pyrenees,0.06,True,https://twitter.com/dog_rates/status/680494726643068929/photo/1,"""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/CXGaVxOWAAADjhF.jpg,2015-12-25,10,680494726643068929
gry,1.4,14,,"Meet Gary, Carrie Fisher's dog. Idk what I can say about Gary that reflects the inspirational awesomeness that was Carrie Fisher. 14/10 RIP https://t.co/uBnQTNEeGg",16267,40402,french bulldog,0.71,True,boston bull,0.25,True,boxer,0.02,True,"https://twitter.com/dog_rates/status/813812741911748608/photo/1,https://twitter.com/dog_rates/status/813812741911748608/photo/1,https://twitter.com/dog_rates/status/813812741911748608/photo/1","""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/C0s-XtzWgAAp1W-.jpg,2016-12-27,10,813812741911748608
,1.4,14,,"Ladies and gentlemen... I found Pipsy. He may have changed his name to Pablo, but he never changed his love for the sea. Pupgraded to 14/10 https://t.co/lVU5GyNFen",1195,9094,lakeland terrier,0.28,True,airedale,0.19,True,teddy,0.1,False,https://twitter.com/dog_rates/status/863079547188785154/photo/1,"""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/C_pGRInUwAAmTY_.jpg,2017-05-12,10,863079547188785154
,1.4,14,,"I present to you, Pup in Hat. Pup in Hat is great for all occasions. Extremely versatile. Compact as h*ck. 14/10 (IG: itselizabethgales) https://t.co/vvBOcC2VdC",5856,27478,pembroke,0.99,True,cardigan,0.0,True,chihuahua,0.0,True,https://twitter.com/dog_rates/status/884441805382717440/photo/1,"""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/DEYrIZwWsAA2Wo5.jpg,2017-07-10,10,884441805382717440
one,1.4,14,,"Occasionally, we're sent fantastic stories. This is one of them. 14/10 for Grace https://t.co/bZ4axuH6OK",1544,10467,golden retriever,0.65,True,chesapeake bay retriever,0.2,True,vizsla,0.06,True,"https://twitter.com/dog_rates/status/828650029636317184/photo/1,https://twitter.com/dog_rates/status/828650029636317184/photo/1,https://twitter.com/dog_rates/status/828650029636317184/photo/1","""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/C3_0yhCWEAETXj2.jpg,2017-02-06,10,828650029636317184
,1.4,14,pupper,Sometimes you guys remind me just how impactful a pupper can be. Cooper will be remembered as a good boy by so many. 14/10 rest easy friend https://t.co/oBL7LEJEzR,8285,33911,black-and-tan coonhound,0.85,True,doberman,0.05,True,bluetick,0.02,True,"https://twitter.com/dog_rates/status/854120357044912130/photo/1,https://twitter.com/dog_rates/status/854120357044912130/photo/1,https://twitter.com/dog_rates/status/854120357044912130/photo/1,https://twitter.com/dog_rates/status/854120357044912130/photo/1","""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/C9px7jyVwAAnmwN.jpg,2017-04-17,10,854120357044912130
doobert,1.4,14,doggo,Meet Doobert. He's a deaf doggo. Didn't stop him on the field tho. Absolute legend today. 14/10 would pat head approvingly https://t.co/iCk7zstRA9,2554,13864,bedlington terrier,0.39,True,labrador retriever,0.09,True,clumber,0.08,True,https://twitter.com/dog_rates/status/828381636999917570/photo/1,"""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/C38Asz1WEAAvzj3.jpg,2017-02-05,10,828381636999917570
,1.4,14,,I WAS SENT THE ACTUAL DOG IN THE PROFILE PIC BY HIS OWNER THIS IS SO WILD. 14/10 ULTIMATE LEGEND STATUS https://t.co/7oQ1wpfxIH,6478,24167,eskimo dog,0.6,True,siberian husky,0.22,True,saluki,0.04,True,"https://twitter.com/dog_rates/status/774314403806253056/photo/1,https://twitter.com/dog_rates/status/774314403806253056/photo/1,https://twitter.com/dog_rates/status/774314403806253056/photo/1,https://twitter.com/dog_rates/status/774314403806253056/photo/1","""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/Cr7q1VxWIAA5Nm7.jpg,2016-09-09,10,774314403806253056
,1.4,14,pupper,"Here is a pupper approaching maximum borkdrive. Zooming at never before seen speeds. 14/10 paw-inspiring af 
(IG: puffie_the_chow) https://t.co/ghXBIIeQZF",16570,50199,samoyed,0.28,True,angora,0.27,False,persian cat,0.11,False,https://twitter.com/dog_rates/status/881536004380872706/video/1,"""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/ext_tw_video_thumb/881535971568889856/pu/img/9bawiZ--8FKywTkz.jpg,2017-07-02,10,881536004380872706
,1.4,14,,"THIS IS CHARLIE, MARK. HE DID JUST WANT TO SAY HI AFTER ALL. PUPGRADED TO A 14/10. WOULD BE AN HONOR TO FLY WITH https://t.co/p1hBHCmWnA",2068,12446,old english sheepdog,0.8,True,tibetan terrier,0.06,True,standard poodle,0.04,True,https://twitter.com/dog_rates/status/856526610513747968/photo/1,"""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/C-L-aIYXgAIR0jY.jpg,2017-04-24,10,856526610513747968
wlter,1.4,14,,This is Walter. He won't start hydrotherapy without his favorite floatie. 14/10 keep it pup Walter https://t.co/r28jFx9uyF,12518,55098,laptop,0.15,False,french bulldog,0.1,True,printer,0.08,False,https://twitter.com/dog_rates/status/868880397819494401/photo/1,"""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/DA7iHL5U0AA1OQo.jpg,2017-05-28,10,868880397819494401
,1.4,14,puppo,Here's a very loving and accepting puppo. Appears to have read her Constitution well. 14/10 would pat head approvingly https://t.co/6ao80wIpV1,19669,56413,rottweiler,0.68,True,tibetan mastiff,0.15,True,black-and-tan coonhound,0.02,True,https://twitter.com/dog_rates/status/825535076884762624/photo/1,"""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/C3TjvitXAAAI-QH.jpg,2017-01-29,10,825535076884762624
,1.4,14,,RIP Loki. Thank you for the good times. You will be missed by many. 14/10 https://t.co/gJKD9pst5A,5023,15135,pembroke,0.85,True,cardigan,0.11,True,beagle,0.01,True,"https://twitter.com/dog_rates/status/778408200802557953/photo/1,https://twitter.com/dog_rates/status/778408200802557953/photo/1,https://twitter.com/dog_rates/status/778408200802557953/photo/1,https://twitter.com/dog_rates/status/778408200802557953/photo/1","""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/Cs12ICuWAAECNRy.jpg,2016-09-21,10,778408200802557953
